4.1770,0.6843,3.4927
3.6201,0.9173,2.7027
2.9336,1.1831,1.7505
2.3086,1.5137,0.7949
2.0908,1.6344,0.4564
1.9141,1.3397,0.5744
1.8059,0.9464,0.8595
1.7765,0.6580,1.1185
1.6908,0.5113,1.1794
1.5731,0.4930,1.0801
1.4673,0.5712,0.8961
1.4030,0.7059,0.6972
1.4035,0.8076,0.5959
1.3390,0.7810,0.5580
1.2571,0.6562,0.6010
1.2139,0.5222,0.6916
1.1624,0.4354,0.7270
1.1162,0.3987,0.7175
1.0746,0.3996,0.6750
1.0197,0.4200,0.5997
0.9683,0.4336,0.5347
0.9579,0.4191,0.5388
0.8975,0.3836,0.5140
0.8520,0.3355,0.5166
0.8195,0.2843,0.5352
0.7897,0.2837,0.5060
0.7748,0.3051,0.4697
0.7466,0.2963,0.4503
0.7031,0.2694,0.4338
0.6813,0.2406,0.4406
0.6476,0.2684,0.3792
0.6196,0.2218,0.3978
0.5871,0.2381,0.3491
0.5846,0.2318,0.3527
0.5676,0.2021,0.3655
0.5283,0.2081,0.3203
0.5167,0.1752,0.3415
0.5053,0.2035,0.3018
0.4945,0.1384,0.3561
0.5189,0.3054,0.2134
0.5001,0.0904,0.4097
0.4333,0.1945,0.2388
0.4291,0.1778,0.2514
0.4246,0.0885,0.3361
0.3985,0.1339,0.2647
0.3759,0.1859,0.1900
0.3774,0.0931,0.2843
0.3727,0.1091,0.2637
0.3534,0.1599,0.1934
0.3303,0.0918,0.2385
0.3230,0.0873,0.2357
0.3022,0.1394,0.1628
0.2939,0.0802,0.2137
0.2718,0.0796,0.1922
0.2886,0.1114,0.1772
0.2633,0.0741,0.1891
0.2443,0.0721,0.1723
0.2650,0.1042,0.1608
0.2558,0.0777,0.1781
0.2427,0.0622,0.1805
0.2233,0.0857,0.1376
0.2278,0.0679,0.1599
0.2326,0.0658,0.1667
0.2152,0.0823,0.1328
0.2262,0.0491,0.1771
0.2058,0.0706,0.1352
0.1949,0.0711,0.1238
0.2171,0.0469,0.1702
0.2006,0.0669,0.1338
0.1637,0.0580,0.1057
0.1723,0.0410,0.1313
0.1768,0.0621,0.1147
0.1706,0.0517,0.1190
0.1686,0.0472,0.1214
0.1785,0.0576,0.1209
0.1598,0.0489,0.1108
0.1603,0.0473,0.1130
0.1455,0.0450,0.1005
0.1314,0.0368,0.0946
0.1743,0.0458,0.1285
0.1552,0.0538,0.1014
0.1476,0.0347,0.1130
0.1526,0.0485,0.1042
0.1412,0.0439,0.0972
0.1479,0.0352,0.1128
0.1450,0.0573,0.0878
0.1396,0.0275,0.1122
0.1251,0.0469,0.0782
0.1364,0.0413,0.0951
0.1212,0.0366,0.0846
0.1365,0.0292,0.1073
0.1140,0.0481,0.0658
0.1238,0.0223,0.1015
0.1138,0.0376,0.0761
0.1195,0.0407,0.0788
0.0983,0.0233,0.0749
0.1213,0.0266,0.0947
0.1418,0.0474,0.0945
0.1054,0.0224,0.0829
0.1004,0.0353,0.0652
0.1083,0.0273,0.0810
0.1131,0.0281,0.0850
0.1026,0.0368,0.0659
0.0968,0.0206,0.0762
0.0990,0.0302,0.0687
0.1105,0.0374,0.0731
0.1125,0.0185,0.0940
0.0963,0.0396,0.0567
0.0984,0.0197,0.0788
0.1026,0.0297,0.0729
0.0882,0.0295,0.0586
0.1055,0.0209,0.0846
0.0939,0.0374,0.0565
0.0835,0.0182,0.0652
0.0824,0.0235,0.0588
0.0744,0.0292,0.0452
0.0881,0.0187,0.0694
0.0950,0.0294,0.0656
0.0852,0.0217,0.0634
0.1013,0.0251,0.0762
0.0983,0.0345,0.0638
0.0993,0.0103,0.0890
0.0933,0.0299,0.0634
0.0828,0.0251,0.0577
0.0766,0.0156,0.0609
0.0930,0.0274,0.0656
